sample_index,relative_cycles_from_trigger,relative_time_ns,sda_stage1,sda_stage2,sda_filtered,scl_stage1,scl_stage2,scl_filtered,sda_drive_low,scl_drive_low,ack_decision_strobe,ack_value_used,first_nack_event,first_nack_latched,nvp_reset,vdd1_enable,vdd3_enable,init_active,bit_index,byte_phase,fsm_state,operation_index,current_tx_byte,init_done,init_error,first_error_code,first_error_valid,raw_hex
2137,-935,-14960,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2138,-934,-14944,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2139,-933,-14928,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2140,-932,-14912,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2141,-931,-14896,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2142,-930,-14880,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2143,-929,-14864,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2144,-928,-14848,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2145,-927,-14832,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2146,-926,-14816,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2147,-925,-14800,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2148,-924,-14784,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2149,-923,-14768,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2150,-922,-14752,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2151,-921,-14736,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2152,-920,-14720,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2153,-919,-14704,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2154,-918,-14688,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2155,-917,-14672,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2156,-916,-14656,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2157,-915,-14640,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2158,-914,-14624,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2159,-913,-14608,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2160,-912,-14592,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2161,-911,-14576,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2162,-910,-14560,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2163,-909,-14544,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2164,-908,-14528,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2165,-907,-14512,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2166,-906,-14496,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2167,-905,-14480,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2168,-904,-14464,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2169,-903,-14448,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2170,-902,-14432,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2171,-901,-14416,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2172,-900,-14400,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2173,-899,-14384,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2174,-898,-14368,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2175,-897,-14352,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2176,-896,-14336,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2177,-895,-14320,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2178,-894,-14304,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2179,-893,-14288,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2180,-892,-14272,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2181,-891,-14256,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2182,-890,-14240,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2183,-889,-14224,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2184,-888,-14208,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2185,-887,-14192,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2186,-886,-14176,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2187,-885,-14160,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2188,-884,-14144,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2189,-883,-14128,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2190,-882,-14112,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2191,-881,-14096,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2192,-880,-14080,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2193,-879,-14064,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2194,-878,-14048,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2195,-877,-14032,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2196,-876,-14016,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2197,-875,-14000,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2198,-874,-13984,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2199,-873,-13968,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2200,-872,-13952,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2201,-871,-13936,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2202,-870,-13920,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2203,-869,-13904,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2204,-868,-13888,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2205,-867,-13872,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2206,-866,-13856,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2207,-865,-13840,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2208,-864,-13824,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2209,-863,-13808,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2210,-862,-13792,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2211,-861,-13776,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2212,-860,-13760,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2213,-859,-13744,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2214,-858,-13728,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2215,-857,-13712,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2216,-856,-13696,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2217,-855,-13680,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2218,-854,-13664,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2219,-853,-13648,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2220,-852,-13632,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2221,-851,-13616,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2222,-850,-13600,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2223,-849,-13584,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2224,-848,-13568,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2225,-847,-13552,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2226,-846,-13536,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2227,-845,-13520,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2228,-844,-13504,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2229,-843,-13488,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2230,-842,-13472,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2231,-841,-13456,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2232,-840,-13440,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2233,-839,-13424,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2234,-838,-13408,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2235,-837,-13392,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
