Sequence,Iteration,Phase,Operation,Offset,Value,DurationUs,Result
240,18,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.52,PASS
241,19,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.6,PASS
242,19,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,6.973,PASS
243,19,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.56,PASS
244,19,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.591,PASS
245,19,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.5,PASS
246,19,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.127,PASS
247,19,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.53,PASS
248,19,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.581,PASS
249,19,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.561,PASS
250,19,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.601,PASS
251,19,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.71,PASS
252,19,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.511,PASS
253,20,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.62,PASS
254,20,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.55,PASS
255,20,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.58,PASS
256,20,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.501,PASS
257,20,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.681,PASS
258,20,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.278,PASS
259,20,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.56,PASS
260,20,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.63,PASS
261,20,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,7.163,PASS
262,20,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.551,PASS
263,20,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.781,PASS
264,20,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.57,PASS
265,21,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.67,PASS
266,21,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.59,PASS
267,21,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.591,PASS
268,21,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.61,PASS
269,21,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.56,PASS
270,21,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.358,PASS
271,21,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.63,PASS
272,21,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.51,PASS
273,21,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.541,PASS
274,21,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.581,PASS
275,21,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.48,PASS
276,21,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.53,PASS
277,22,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.53,PASS
278,22,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.52,PASS
279,22,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.561,PASS
280,22,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.56,PASS
281,22,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,7.103,PASS
282,22,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.188,PASS
283,22,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.55,PASS
284,22,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.62,PASS
285,22,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.59,PASS
286,22,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.58,PASS
287,22,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.491,PASS
288,22,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,6.481,PASS
289,23,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,7.273,PASS
290,23,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.69,PASS
291,23,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.55,PASS
292,23,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.561,PASS
293,23,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.55,PASS
294,23,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.218,PASS
295,23,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.48,PASS
296,23,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.541,PASS
297,23,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.56,PASS
298,23,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.56,PASS
299,23,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.61,PASS
300,23,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,7.755,PASS
301,24,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,6.932,PASS
302,24,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.621,PASS
303,24,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.56,PASS
304,24,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.58,PASS
305,24,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.56,PASS
306,24,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.138,PASS
307,24,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,7.083,PASS
308,24,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.59,PASS
309,24,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.811,PASS
310,24,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,7.474,PASS
311,24,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.631,PASS
312,24,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.55,PASS
313,25,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.56,PASS
314,25,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.541,PASS
315,25,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.56,PASS
316,25,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,7.544,PASS
317,25,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,7.644,PASS
318,25,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.188,PASS
319,25,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.551,PASS
320,25,POST_CLEAR_STATE,READ,0x3C18,0x00000000,6.984,PASS
321,25,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.511,PASS
322,25,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,9.518,PASS
323,25,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.58,PASS
324,25,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.54,PASS
