Scanline,PayloadSHA256,LumaMean
98,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
99,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
100,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
101,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
102,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
103,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
104,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
105,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
106,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
107,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
108,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
109,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
110,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
111,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
112,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
113,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
114,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
115,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
116,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
117,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
118,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
119,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
120,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
121,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
122,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
123,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
124,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
125,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
126,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
127,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
128,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
129,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
130,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
131,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
132,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
133,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
134,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
135,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
136,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
137,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
138,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
139,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
140,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
141,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
142,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
143,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
144,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
145,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
146,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
147,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
148,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
