IMAGE_ROLE,CLOCK_NAME,REGISTER_CELL,REF_NAME,TOP_HIERARCHY
"FORMAL_PHASE2_FAIL_CONTROL","clk_125mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/gtp_pipe_reset.gtp_pipe_reset_i/resetdone_reg1_reg[0]","FDRE","XDMA"
"FORMAL_PHASE2_FAIL_CONTROL","clk_125mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/gtp_pipe_reset.gtp_pipe_reset_i/resetdone_reg2_reg[0]","FDRE","XDMA"
"FORMAL_PHASE2_FAIL_CONTROL","clk_125mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/gtp_pipe_reset.gtp_pipe_reset_i/RST_DRP_START_reg","FDRE","XDMA"
"FORMAL_PHASE2_FAIL_CONTROL","clk_125mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/gtp_pipe_reset.gtp_pipe_reset_i/RST_DRP_X16_reg","FDRE","XDMA"
"FORMAL_PHASE2_FAIL_CONTROL","clk_125mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/gtp_pipe_reset.gtp_pipe_reset_i/rxpmaresetdone_reg1_reg[0]","FDRE","XDMA"
"FORMAL_PHASE2_FAIL_CONTROL","clk_125mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/gtp_pipe_reset.gtp_pipe_reset_i/rxpmaresetdone_reg2_reg[0]","FDRE","XDMA"
"FORMAL_PHASE2_FAIL_CONTROL","clk_125mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/gtp_pipe_reset.gtp_pipe_reset_i/rxusrclk_rst_reg1_reg","FDRE","XDMA"
"FORMAL_PHASE2_FAIL_CONTROL","clk_125mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/gtp_pipe_reset.gtp_pipe_reset_i/rxusrclk_rst_reg2_reg","FDSE","XDMA"
"FORMAL_PHASE2_FAIL_CONTROL","clk_125mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/gtp_pipe_reset.gtp_pipe_reset_i/txsync_done_reg1_reg[0]","FDRE","XDMA"
"FORMAL_PHASE2_FAIL_CONTROL","clk_125mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/gtp_pipe_reset.gtp_pipe_reset_i/txsync_done_reg2_reg[0]","FDRE","XDMA"
"FORMAL_PHASE2_FAIL_CONTROL","clk_125mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/gtp_pipe_reset.gtp_pipe_reset_i/userrdy_reg","FDRE","XDMA"
"FORMAL_PHASE2_FAIL_CONTROL","clk_125mhz","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_sel_reg","FDRE","XDMA"
